iter,evals,f_best,f_mean,f_std,gbest_f,x_best
59,2360,-4.537710600000e+02,-6.591030625000e+01,1.227682352217e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
60,2400,-5.023141000000e+02,-7.065363000000e+01,1.374992834855e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
61,2440,-5.185735100000e+02,-4.559141375000e+01,1.177913924153e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
62,2480,-4.957566500000e+02,-9.169109325000e+01,1.688885033971e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
63,2520,-5.300860300000e+02,-9.285605350000e+01,1.526455259197e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
64,2560,-4.977544900000e+02,-4.323197425000e+01,1.091331936950e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
65,2600,-4.377754200000e+02,-8.503439050000e+01,1.370005585854e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
66,2640,-4.519976000000e+02,-7.018474900000e+01,1.368369882493e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
67,2680,-2.484887000000e+02,-2.928767725000e+01,9.223037982256e+01,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
68,2720,-3.725580400000e+02,-6.470174150000e+01,1.776153834468e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
69,2760,-5.196199500000e+02,-7.857973375000e+01,1.398722261840e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
70,2800,-5.055841000000e+02,-1.075665832500e+02,1.656512193291e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
71,2840,-4.239817100000e+02,-5.256738775000e+01,1.111027591941e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
72,2880,-5.222719800000e+02,-1.183600517949e+02,1.656891678886e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
73,2920,-4.467496800000e+02,-7.608273325000e+01,1.149924939282e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
74,2960,-5.213395700000e+02,-6.532452950000e+01,1.318296906865e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
75,3000,-2.215870100000e+02,-2.615477850000e+01,7.517741758563e+01,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
76,3040,-4.492738900000e+02,-7.663719925000e+01,1.264106949440e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
77,3080,-4.304214000000e+02,-7.172307538462e+01,1.140072045096e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
78,3120,-4.272859700000e+02,-6.881124825000e+01,1.393095580476e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
79,3160,-2.870336500000e+02,-4.022490850000e+01,7.554088409689e+01,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
80,3200,-4.752417700000e+02,-9.876319625000e+01,1.495985812438e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
81,3240,-4.208259700000e+02,-1.077050370000e+02,1.447906637080e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
82,3280,-4.747920500000e+02,-7.331318775000e+01,1.359322849672e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
83,3320,-5.169813200000e+02,-8.111072650000e+01,1.372011807104e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
84,3360,-5.297311400000e+02,-1.308392877500e+02,1.728535109203e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
85,3400,-4.608629800000e+02,-7.183473871795e+01,1.265696898779e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
86,3440,-3.801272300000e+02,-5.557278800000e+01,9.752994636507e+01,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
87,3480,-4.339335500000e+02,-8.418231000000e+01,1.345938332380e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
